stop_id,nombre,ciudad,provincia,latitud,longitud,num_andenes,tiene_sala_club
22201,O Porriño,O Porriño,Desconocida,42.16419,-8.62202,0,0
31412,A Coruña,A Coruña,A Coruña,43.3496932,-8.4155629,0,0
30100,Salamanca,Salamanca,Salamanca,40.972235,-5.64899,0,0
10600,Valladolid,Valladolid,Valladolid,41.642167,-4.726986,0,1
10500,Medina Del Campo,Medina Del Campo,Desconocida,41.317617,-4.909923,0,0
32002,El Carpio,El Carpio,Desconocida,41.215464,-5.114466,0,0
32003,Fresno El Viejo,Fresno El Viejo,Desconocida,41.191351,-5.138061,0,0
32004,Cantalapiedra,Cantalapiedra,Desconocida,41.133585,-5.182961,0,0
10501,Pozaldez,Pozaldez,Desconocida,41.36792,-4.836001,0,0
10502,Matapozuelos,Matapozuelos,Desconocida,41.422794,-4.801025,0,0
10503,Valdestillas,Valdestillas,Desconocida,41.488729,-4.772937,0,0
10504,Viana,Viana,Desconocida,41.52407,-4.754489,0,0
50500,Cordoba,Cordoba,Desconocida,37.888291,-4.789453,0,0
65422,Cambrils,Cambrils,Desconocida,41.0815642,1.04603752,0,0
64100,Xàtiva,Xàtiva,Desconocida,38.992148,-0.5245402,0,0
60600,Albacete-Los Llanos,Albacete-Los Llanos,Albacete,38.999384,-1.84845,0,1
60500,Villarrobledo,Villarrobledo,Desconocida,39.260868,-2.598621,0,0
60406,Socuellamos,Socuellamos,Desconocida,39.278776,-2.775571,0,0
50100,Manzanares,Manzanares,Desconocida,39.005837,-3.370507,0,0
50102,Valdepeñas,Valdepeñas,Desconocida,38.762868,-3.39572,0,0
81110,Alfaro,Alfaro,Desconocida,42.186525,-1.747985,0,0
81109,Rincón De Soto,Rincón De Soto,Desconocida,42.230011,-1.847473,0,0
60911,Alicante/Alacant,Alicante/Alacant,Desconocida,38.3447127,-0.4955241,0,0
4307,Figueres Vilafant,Figueres Vilafant,Girona,42.264771,2.943547,0,1
79300,Girona,Girona,Girona,41.9793629,2.81693689,0,1
65200,Sagunt/Sagunto,Sagunt/Sagunto,Desconocida,39.6758025,-0.271542,0,0
65304,Orpesa/Oropesa Del Mar,Orpesa/Oropesa Del Mar,Desconocida,40.092258,0.139861,0,0
71500,Tarragona,Tarragona,Tarragona,41.1115636,1.25322776,0,0
60905,Elda-Petrer,Elda-Petrer,Desconocida,38.484879,-0.80109,0,0
60902,Villena,Villena,Desconocida,38.631738,-0.867689,0,0
65318,Benicàssim,Benicàssim,Desconocida,40.0579451,0.0577646,0,0
61307,Cartagena,Cartagena,Desconocida,37.604967,-0.975122,0,0
62103,Elche Parque/Elx Parc,Elche Parque/Elx Parc,Desconocida,38.2717809,-0.6952193,0,0
62002,Orihuela-Miguel Hernández,Orihuela-Miguel Hernández,Desconocida,38.0779321,-0.944606,0,0
61304,Torre-Pacheco,Torre-Pacheco,Desconocida,37.746905,-0.967078,0,0
61303,Balsicas-Mar Menor,Balsicas-Mar Menor,Desconocida,37.81884,-0.950891,0,0
